index,store_ID,day_of_week,date,nb_customers_on_day,open,promotion,state_holiday,school_holiday,sales
272371,415,7,01/03/2015,0,0,0,0,0,0.0
558468,27,7,29/12/2013,0,0,0,0,0,0.0
76950,404,3,19/03/2014,657,1,1,0,0,6622.63916015625
77556,683,2,29/01/2013,862,1,0,0,0,6605.14990234375
456344,920,3,19/03/2014,591,1,1,0,0,6130.05029296875
436466,758,4,26/06/2014,569,1,0,0,0,5162.7802734375
646251,563,1,16/02/2015,321,1,1,0,0,4243.42041015625
650464,930,6,22/11/2014,1367,1,0,0,0,9990.369140625
162710,756,4,04/06/2015,0,0,1,a,0,0.0
100327,49,2,13/01/2015,546,1,1,0,0,6170.0546875
374540,787,4,23/07/2015,968,1,0,0,1,7704.18505859375
399143,782,4,19/09/2013,472,1,0,0,0,4278.3662109375
44740,897,7,20/04/2014,0,0,0,0,0,0.0
674144,933,1,09/12/2013,965,1,0,0,0,8115.59716796875
81595,218,2,07/04/2015,804,1,0,0,1,7089.275390625
416724,554,3,09/10/2013,499,1,1,0,1,5289.29150390625
632687,362,1,12/08/2013,1337,1,1,0,1,12157.0869140625
351899,655,3,09/04/2014,560,1,0,0,0,5154.0712890625
515940,785,3,31/12/2014,461,1,0,0,1,4149.49658203125
567411,690,3,19/03/2014,866,1,1,0,0,8157.83984375
274598,1103,7,15/02/2015,0,0,0,0,0,0.0
417880,431,1,02/06/2014,1367,1,1,0,0,12913.3447265625
453710,127,2,24/09/2013,642,1,1,0,0,6276.4560546875
597622,579,5,29/03/2013,0,0,1,b,1,0.0
223346,248,6,03/08/2013,1139,1,0,0,0,8435.5791015625
630018,962,6,11/01/2014,0,0,0,0,0,0.0
355860,224,2,26/03/2013,515,1,1,0,1,5933.57177734375
360080,208,3,19/06/2013,355,1,1,0,1,3884.298828125
129544,401,1,30/03/2015,1063,1,1,0,0,11597.892578125
422545,503,7,29/09/2013,0,0,0,0,0,0.0
174199,221,4,05/03/2015,562,1,1,0,0,6089.52392578125
118613,268,7,02/11/2014,0,0,0,0,0,0.0
60310,799,2,27/08/2013,927,1,1,0,1,8688.3798828125
328458,260,6,25/10/2014,894,1,0,0,0,6795.18701171875
200661,1041,2,10/03/2015,594,1,0,0,0,5412.82421875
179581,350,2,18/06/2013,533,1,1,0,0,5752.36572265625
587612,286,7,05/04/2015,0,0,0,0,0,0.0
320169,620,2,04/06/2013,709,1,1,0,0,7098.73046875
37194,521,1,17/06/2013,484,1,1,0,0,5481.859375
685427,649,4,27/11/2014,435,1,1,0,0,5303.70263671875
125422,1059,2,02/06/2015,1239,1,1,0,0,11838.830078125
24499,486,6,28/06/2014,373,1,0,0,0,3923.188720703125
281806,252,4,17/10/2013,642,1,0,0,0,5497.81591796875
540511,656,3,15/05/2013,421,1,1,0,0,4806.25634765625
28689,642,5,12/09/2014,394,1,0,0,0,3783.947265625
165066,655,5,08/05/2015,761,1,1,0,0,7666.73583984375
555963,992,3,26/06/2013,627,1,0,0,0,5493.33251953125
610614,143,2,02/06/2015,731,1,1,0,0,8208.8974609375
64013,421,5,18/07/2014,941,1,1,0,1,8755.5068359375
30639,246,4,02/10/2014,1157,1,1,0,0,10210.63671875
418604,960,1,28/04/2014,720,1,1,0,0,7879.4951171875
468037,313,5,17/01/2014,697,1,0,0,0,5964.3994140625
271589,291,6,29/06/2013,534,1,0,0,0,5487.615234375
77924,924,6,31/05/2014,333,1,0,0,0,3397.498779296875
247149,337,2,13/08/2013,430,1,1,0,1,5164.9560546875
576822,1024,4,12/03/2015,607,1,0,0,0,5467.01904296875
108538,56,3,22/01/2014,402,1,1,0,0,4646.0302734375
645670,507,3,09/04/2014,532,1,0,0,0,4958.30078125
601663,970,5,15/03/2013,406,1,0,0,0,3993.145263671875
502588,846,2,23/06/2015,828,1,0,0,0,6904.84716796875
66732,549,3,27/08/2014,582,1,0,0,0,5081.01953125
627113,1095,4,28/03/2013,852,1,1,0,1,9037.5693359375
691184,859,5,12/04/2013,709,1,1,0,0,7083.7724609375
467913,914,2,29/07/2014,1178,1,1,0,1,11034.5908203125
304890,888,2,23/06/2015,634,1,0,0,0,5795.70556640625
274018,442,2,04/11/2014,517,1,1,0,0,6095.12890625
644430,34,6,09/03/2013,905,1,0,0,0,7195.412109375
669009,199,4,10/07/2014,581,1,0,0,0,5331.23486328125
518722,854,4,04/06/2015,657,1,1,a,0,6628.19140625
505976,611,2,21/01/2014,485,1,1,0,0,5636.904296875
291572,808,4,09/04/2015,528,1,0,0,1,4992.8740234375
39071,1105,4,22/01/2015,410,1,0,0,0,4005.057861328125
319154,866,5,24/04/2015,445,1,0,0,0,4398.45361328125
166603,222,6,28/09/2013,367,1,0,0,0,3546.63037109375
428262,476,2,24/09/2013,753,1,1,0,0,7062.474609375
20314,800,1,26/05/2014,494,1,0,0,0,4660.5908203125
603091,330,1,24/03/2014,408,1,0,0,0,3885.25537109375
500421,507,3,07/01/2015,648,1,1,0,0,6900.41796875
388016,98,7,02/06/2013,0,0,0,0,0,0.0
268257,1026,2,28/01/2014,1044,1,0,0,0,7737.67138671875
216326,990,5,04/10/2013,719,1,0,0,0,6649.71142578125
40755,8,6,10/01/2015,345,1,0,0,0,3603.412841796875
8654,611,3,31/07/2013,566,1,1,0,1,6709.95849609375
37301,257,2,13/08/2013,777,1,1,0,0,7765.369140625
485623,840,4,16/04/2015,1189,1,1,0,0,10673.521484375
